job_id,type,nodes,start_time,subtime,actual_finish_time,req_finish_time,terminated,finish_time
125,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",12169.0,11858,12237.0,12237.0,False,12237.0
126,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",12237.0,11862,12311.0,12311.0,False,12311.0
127,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",12311.0,11905,12408.0,12408.0,False,12408.0
128,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",12408.0,12029,12542.0,12542.0,False,12542.0
130,execution_finished,"[13, 14, 15, 16, 17, 18, 19, 20]",12528.0,12086,12569.0,12569.0,False,12569.0
129,execution_finished,"[7, 8, 9, 10, 11, 12]",12528.0,12072,12617.0,12617.0,False,12617.0
131,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 13]",12569.0,12146,12696.0,12696.0,False,12696.0
132,execution_finished,"[7, 8, 9, 10, 11, 12, 14, 15]",12617.0,12181,12719.0,12719.0,False,12719.0
133,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 13]",12696.0,12349,12754.0,12754.0,False,12754.0
135,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 13, 16]",12754.0,12566,12803.0,12803.0,False,12803.0
134,execution_finished,"[7, 8, 9, 10, 11, 12, 14, 15]",12719.0,12371,12843.0,12843.0,False,12843.0
136,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 13, 16]",12803.0,12656,12893.0,12893.0,False,12893.0
138,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 13, 14]",12893.0,12799,12950.0,12950.0,False,12950.0
137,execution_finished,"[7, 8, 9, 10, 11, 12]",12843.0,12704,12961.0,12961.0,False,12961.0
139,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 13, 14, 15]",12950.0,12888,12994.0,12994.0,False,12994.0
140,execution_finished,"[7, 8, 9, 10, 11, 12]",12977.0,12977,13059.0,13059.0,False,13059.0
141,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",13201.0,13201,13290.0,13290.0,False,13290.0
142,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",13509.0,13509,13625.0,13625.0,False,13625.0
143,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",13636.0,13636,13704.0,13704.0,False,13704.0
144,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",13704.0,13674,13787.0,13787.0,False,13787.0
145,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",13787.0,13762,13847.0,13847.0,False,13847.0
146,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",13847.0,13841,13879.0,13879.0,False,13879.0
147,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",13889.0,13889,13962.0,13962.0,False,13962.0
148,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",14025.0,14025,14060.0,14060.0,False,14060.0
149,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",14062.0,14062,14181.0,14181.0,False,14181.0
150,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",14181.0,14130,14271.0,14271.0,False,14271.0
151,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",14271.0,14206,14347.0,14347.0,False,14347.0
152,execution_finished,"[0, 1, 2, 3, 4]",14347.0,14255,14433.0,14433.0,False,14433.0
153,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",14433.0,14279,14503.0,14503.0,False,14503.0
155,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",14503.0,14326,14638.0,14638.0,False,14638.0
154,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",14758.0,14314,14844.0,14844.0,False,14844.0
156,execution_finished,"[0, 1, 2, 3, 4, 5]",14844.0,14368,15005.0,15005.0,False,15005.0
157,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",15005.0,14578,15023.0,15023.0,False,15023.0
